name,price,description,image_url,product_url,category,availability,rating,features
concept beauty shampoo,0.00 EGP,شامبوconcept beauty shampoo(0 المراجعات )0.00 EGP,https://octopios.com/uploads/2025_01_24_10_06_02_concept-beauty-shampoo.png,https://octopios.com/trader/categories/315,,,,[]
booster Diurizide 20 GM,0.00 EGP,أدوات بيطرية أخرىbooster Diurizide 20 GM(0 المراجعات )0.00 EGP,https://octopios.com/uploads/2025_03_10_11_24_42_booster-diurizide-20-gm.png,https://octopios.com/trader/categories/278,,,,[]
PLT-UP 100 ml,0.00 EGP,أدوات بيطرية أخرىPLT-UP 100 ml(16 المراجعات )0.00 EGP,https://octopios.com/uploads/2025_03_10_12_00_47_plt-up-100-ml.png,https://octopios.com/trader/categories/278,,,,[]
Camel Mix 100 ml,0.00 EGP,أدوات بيطرية أخرىCamel Mix 100 ml(1 المراجعات )0.00 EGP,https://octopios.com/uploads/2025_03_10_12_12_13_camel-mix-100-ml.png,https://octopios.com/trader/categories/278,,,,[]
Six Corner Industrial Tray,0.00 EGP,منتجات التعبئة والتغليف والطباعة الأخرىSix Corner Industrial Tray(0 المراجعات )0.00 EGP,https://octopios.com/uploads/2025_03_18_03_17_52_six-corner-industrial-tray.png,https://octopios.com/trader/categories/301,,,,[]
Modern Round Side Table,0.00 EGP,طاولات الطعامModern Round Side Table(0Reviews)0.00 EGP,https://octopios.com/uploads/2025_06_03_02_32_11_modern-round-side-table.png,https://octopios.com/trader/categories/115,,,,[]
Office Chairs,"1,694.86 EGP","كراسي المكتبOffice Chairs(0Reviews)1,694.86 EGP",https://octopios.com/uploads/2025_06_03_02_40_46_krasy-almktb.jpg,https://octopios.com/trader/categories/120,,,,[]
Office Chairs,0.00 EGP,كراسي المكتبOffice Chairs(0Reviews)0.00 EGP,https://octopios.com/uploads/2025_06_03_02_47_40_krasy-almktb.jpeg,https://octopios.com/trader/categories/120,,,,[]
concept beauty shampoo,0.00 EGP,شامبوconcept beauty shampoo(0Reviews)0.00 EGP,https://octopios.com/uploads/2025_01_24_10_06_02_concept-beauty-shampoo.png,https://octopios.com/trader/categories/315,,,,[]
Two phase hair milk,0.00 EGP,علاج الشعرTwo phase hair milk(0Reviews)0.00 EGP,https://octopios.com/uploads/2025_01_24_10_14_33_two-phase-hair-milk.png,https://octopios.com/trader/categories/311,,,,[]
Meso Intense Device,0.00 EGP,الأجهزة والمستلزمات الطبيةMeso Intense Device(0Reviews)0.00 EGP,https://octopios.com/uploads/2025_01_24_10_19_39_meso-intense-device.png,https://octopios.com/trader/categories/24,,,,[]
Hairbrush with dream roller,0.00 EGP,العناية الشخصية والتنظيف المنزليHairbrush with dream roller(0Reviews)0.00 EGP,https://octopios.com/uploads/2025_01_24_10_50_41_hairbrush-with-dream-roller.png,https://octopios.com/trader/categories/26,,,,[]
Meso Intense Anti-Hair Loss Shampoo,0.00 EGP,شامبوMeso Intense Anti-Hair Loss Shampoo(0Reviews)0.00 EGP,https://octopios.com/uploads/2025_02_13_11_39_52_meso-intense-anti-hair-loss-shampoo.png,https://octopios.com/trader/categories/315,,,,[]
ATP shock,0.00 EGP,أدوات بيطرية أخرىATP shock(0Reviews)0.00 EGP,https://octopios.com/uploads/2025_03_10_10_53_15_atp-shock.png,https://octopios.com/trader/categories/278,,,,[]
booster Diurizide 20 GM,0.00 EGP,أدوات بيطرية أخرىbooster Diurizide 20 GM(0Reviews)0.00 EGP,https://octopios.com/uploads/2025_03_10_11_24_42_booster-diurizide-20-gm.png,https://octopios.com/trader/categories/278,,,,[]
PLT-UP 100 ml,0.00 EGP,أدوات بيطرية أخرىPLT-UP 100 ml(16Reviews)0.00 EGP,https://octopios.com/uploads/2025_03_10_12_00_47_plt-up-100-ml.png,https://octopios.com/trader/categories/278,,,,[]
Biovet 500 100 ml,0.00 EGP,أدوات بيطرية أخرىBiovet 500 100 ml(0Reviews)0.00 EGP,https://octopios.com/uploads/2025_03_10_12_04_53_biovet-500-100-ml.png,https://octopios.com/trader/categories/278,,,,[]
Lactic Acid Down 100 ml,0.00 EGP,أدوات بيطرية أخرىLactic Acid Down 100 ml(0Reviews)0.00 EGP,https://octopios.com/uploads/2025_03_20_03_09_08_lactic-acid-down-100-ml.png,https://octopios.com/trader/categories/278,,,,[]
Camel Mix 100 ml,0.00 EGP,أدوات بيطرية أخرىCamel Mix 100 ml(1Reviews)0.00 EGP,https://octopios.com/uploads/2025_03_10_12_12_13_camel-mix-100-ml.png,https://octopios.com/trader/categories/278,,,,[]
Booster B Plus 100 ml,0.00 EGP,أدوات بيطرية أخرىBooster B Plus 100 ml(0Reviews)0.00 EGP,https://octopios.com/uploads/2025_03_10_12_15_18_booster-b-plus-100-ml.png,https://octopios.com/trader/categories/278,,,,[]
utility shirt,629.55 EGP,قمصان رجاليةutility shirt(0Reviews)629.55 EGP,https://octopios.com/uploads/2025_06_04_10_42_21_utility-shirt.jpg,https://octopios.com/trader/categories/388,,,,[]
Tactical Cargo Pants,774.83 EGP,جينز للرجالTactical Cargo Pants(0Reviews)774.83 EGP,https://octopios.com/uploads/2025_06_10_08_46_15_bntlon-shhn-tktyky.jpg,https://octopios.com/trader/categories/393,,,,[]
Tactical Cargo Pants,774.83 EGP,السراويل والسراويل الرجاليةTactical Cargo Pants(0Reviews)774.83 EGP,https://octopios.com/uploads/2025_06_10_08_53_01_sroal-alshhn-altktyky.jpg,https://octopios.com/trader/categories/512,,,,[]
Tactical Utility Shirt – Desert Tan,677.98 EGP,قمصان رجاليةTactical Utility Shirt – Desert Tan(0Reviews)677.98 EGP,https://octopios.com/uploads/2025_06_10_09_00_46_kmys-tktyky-mtaadd-alastkhdamat-ballon-albny-alshraoy.jpg,https://octopios.com/trader/categories/388,,,,[]
